Timestamp	Filename	Error	Message
2022-06-29 13:48:33.564 +0200	Contratos_Safety_Diposit.fmp12	0	scripts imported : 3
2022-06-29 13:48:33.566 +0200	Contratos_Safety_Diposit.fmp12	0	Import completed
2022-06-29 17:36:32.908 +0200	Contratos_Safety.fmp12	0	Import operations started
2022-06-29 17:36:32.931 +0200	Contratos_Safety.fmp12	0	Import of fields from clipboard started
2022-06-29 17:36:32.998 +0200	Contratos_Safety	0	fields imported : 2
2022-06-29 17:36:33.020 +0200	Contratos_Safety.fmp12	0	Import completed
2022-06-29 17:36:37.959 +0200	Contratos_Safety.fmp12	0	Import operations committed
2022-06-29 17:36:37.984 +0200	Contratos_Safety.fmp12	0	==================================================================
2022-07-01 11:17:20.703 +0200	Contratos_Safety.fmp12	0	Import of script steps from clipboard started
2022-07-01 11:17:20.713 +0200	Relacionats	0	script steps imported : 1
2022-07-01 11:17:20.713 +0200	Contratos_Safety.fmp12	0	Import completed
2022-07-01 11:18:41.797 +0200	Contratos_Safety.fmp12	0	Import of script steps from clipboard started
2022-07-01 11:18:41.797 +0200	Tanca	0	script steps imported : 1
2022-07-01 11:18:41.807 +0200	Contratos_Safety.fmp12	0	Import completed
2022-07-01 12:25:30.857 +0200	Contratos_Safety.fmp12	0	Import operations started
2022-07-01 12:25:30.864 +0200	Contratos_Safety.fmp12	0	Import of fields from clipboard started
2022-07-01 12:25:30.870 +0200	Contratos_Safety	0	fields imported : 1
2022-07-01 12:25:30.870 +0200	Contratos_Safety.fmp12	0	Import completed
2022-07-01 12:25:42.508 +0200	Contratos_Safety.fmp12	0	Import operations committed
2022-07-01 12:25:42.508 +0200	Contratos_Safety.fmp12	0	==================================================================
