NUM CONTRATO;COD. CLI;ESTABLECIMIENTO;NUM.SISTEMA;DESCR. ZONA;FE.INSTAL.;FE.PROX.VIS.;TIPO SISTEMA;DESC. TIPO SIST.;TOT.PUNTOS;CANT.FUSIBLES;CANT.BOQUILLAS;NUM.SERIE CARTUCHO;FE.CAMB.CARTUCHO;NUM.SERIE ARMARIO;
BAR-05-02-01/07;0127013;VIENA PIZZERIA SABADELL EIX MACIA;1;CAMPANA PRINCIPAL             ;15-NOV-96;18-AGO-22;SF/P 450       ;SF/P 260; 19;  5; 17;                    ;         ;                    ;
BAR-05-02-01/08;0127003;VIENA CAN ROQUETA - ALMACEN;1;CAMPANA ASADOR 6 MT           ; 1-OCT-01;27-AGO-22;SF/P 400       ;;  7;  6;  7;                    ;         ;                    ;
BAR-05-02-01/08;0127003;VIENA CAN ROQUETA - ALMACEN;2;CAMPANA ASADOR 6 MT (B)       ; 1-OCT-01;27-AGO-22;SF/P 400       ;;  7;  6;  7;                    ;         ;                    ;
BAR-05-02-01/10;0127017;VIENA PLATJA D'ARO;1;CAMPANA DE PARED 3,30 m ;21-JUN-02;15-JUN-22;SF/A 300       ;;  9;  3;  7;                    ;         ;                    ;
BAR-05-02-01/11;0127016;VIENA XALET GAVARRES;1;CAMPANA CENTRAL               ; 3-JUL-02;31-AGO-22;SF/P 450       ;; 10;  4;  9;                    ;         ;                    ;
BAR-05-02-01/11;0127016;VIENA XALET GAVARRES;2;CAMPANA CENTRAL ; 3-JUL-02;31-AGO-22;SF/P 260       ;;  9;  3;  7;                    ;         ;                    ;
BAR-05-02-01/12;0127011;VIENA XALET MANRESA;1;CAMPANA CENTRAL 5 MT          ; 1-ABR-03;27-JUL-22;SF/P 450       ;;  7;  4;  7;                    ;         ;                    ;
BAR-05-02-01/12;0127011;VIENA XALET MANRESA;2;CAMPANA PARED 3,70 MT         ; 1-ABR-03;27-JUL-22;SF/A 300       ;;  8;  3;  6;                    ;         ;                    ;
BAR-05-02-01/13;0127010;VIENA GIRONA;1;CAMPANA PARED 4,50 MT         ;19-MAR-03;17-ABR-17;SF/P 450       ;; 11;  3;  9;                    ;         ;                    ;
BAR-05-02-01/14;0127019;VIENA CASINO REUS;1;CAMPANA CENTRAL 5 M. ;28-MAY-04;22-JUL-22;SF/P 400       ;;  8;  4;  7;                    ;         ;                    ;
