NUM CONTRATO;COD. CLI;ESTABLECIMIENTO;NUM.SISTEMA;DESCR. ZONA;NUM.SERIE DEP.;FE.CAMBIO DEP.;NUM.LOTE;FE.LOTE;
;0023043;B.K.10136 - TORREVIEJA 2 PLAYA;3;CAMPANA FREIDORAS (3)         ;1198536 feb-05      ; 1-DIC-15;L-5069 Jul-05  ;         ;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
;0023043;B.K.10136 - TORREVIEJA 2 PLAYA;4;CAMPANA BROILER               ;1109618*10-02-05    ; 1-DIC-15;L-5050 jun-05  ;         ;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
;3270001;B.K.8530 IBIZA CENTRO;1;CAMPANA FREIDORAS (4)         ;                    ; 1-ABR-15;L-0027; 1-MAR-10;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
;;COLEGIO JOAN VENY I CLAR;2;CAMPANA BROILER               ;                    ;30-ABR-22;                    ;         ;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
;3765;RESTAURANTE GALICIA;1;CAMPANA PARED                 ;2004; 1-MAR-14;                    ;         ;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
;0638002;HOTEL TRYP REY PELAYO;3;CONDUCTO;Nß02095;         ;;18-ABR-06;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
;0685035;BK 14388 AEROPUERTO DE IBIZA;2;CAMPANA BROILER;2012;         ;;         ;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
;3154;HOTEL BARCELO - OVIEDO;2;CAMPANA ESPECIAL BUFFET;2007; 1-MAR-27;LIQUIDO AZUL; 1-MAR-18;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
;2305;REST. EL REY DE LA GAMBA I;3;SISTEMA DESMONTADO!!!!!!!;; 1-MAR-10;;         ;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
;4620;REST. FEROZ;1;CAMPANA CENTRAL;2007;         ;L7051; 1-MAY-07;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
;1669001;BURGER KING MANACOR;2;CAMPANA BROILER;; 1-JUL-15;;         ;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
;4069003;BK 19469 - MAGALLUF;2;CAMPANA BROILER;;         ;;         ;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
;0023052;B.K.16034 - BENICARLO * Costa Azahar;1;CAMPANA FRANKE FREIDO + BROILE;2006; 1-MAR-16;;         ;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
;4142;REST. EL FILANDON;4;CAMPANA PARED 2¶ PLANTA;091715 FE. 19/2/09; 1-AGO-21;APC; 1-ABR-11;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
;0685035;BK 14388 AEROPUERTO DE IBIZA;4;CAMPANA BROILER;2012;         ;;         ;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
;0023086;B.K.14413 - HOSPITALET * GRAN VIA 2;2;CAMPANA BROILER;;         ;;         ;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
;0023081;B.K.13680 - MANRESA;2;CAMPANA BROILER;;         ;;         ;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
;0023087;B.K.14252 - MATARO;2;CAMPANA BROILER;;         ;;         ;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
;0023078;B.K.11194 - SANT CUGAT;2;CAMPANA BROILER;;         ;;         ;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
;0023080;B.K.13682 - TERRASSA 2 FS;2;CAMPANA BROILER;;         ;;         ;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
;0023108;B.K.17492 - VILAFRANCA DEL PENEDES;2;CAMAPANA BROILER;2010; 1-MAR-20;;         ;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
;0023082;B.K.13998 - BLANES;2;CAMPANA BROILER;;         ;;         ;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
;0023088;B.K.14932 - BARCELONA - L'ILLA DIAGONAL ;2;CAMPANA BROILER;2004; 1-MAY-14;;         ;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
;0023077;B.K.13024 - CABRERA DE MAR;2;CAMPANA BROILER;;         ;;         ;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
;0023110;B.K.9668 - HOSPITALET * C.C. LA FARGA;2;CAMPANA BROILER;;         ;;         ;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
;0023109;B.K.16474 - CUNIT;2;CAMPANA BROILER;;         ;;         ;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
;0023102;B.K.7605 - MADRID * CC.GRAN V. HORTALEZA;2;CAMPANA BROILER;2009; 1-JUL-19;;         ;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
;0023097;B.K.16445 - MADRID * ISLA AZUL;2;CAMPANA BROILER;2008; 1-SEP-18;;         ;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
;0023105;B.K.13679 - EL ESCORIAL;2;CAMPANA BROILER;ROJO;         ;;         ;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
;0023091;B.K.7207 - MADRID * BRAVO MURILLO;2;CAMPANA BROILER;;         ;;         ;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
;2248;FUNDACIO ESADE - EDIFICIO 2;3;CAMP. PLANCHA Y CAMP. PARED;2008;         ;;         ;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
;2248001;FUNDACIO ESADE - EDIFICIO 3;7;CAMPANA B;2003;         ;;         ;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
;0127052;VIENA CABRERA;;COCINA;;         ;;         ;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
;3114001;B.K. FREE STANDING CARCAIXENT;2;BROILER;;         ;;         ;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
;3114001;B.K. FREE STANDING CARCAIXENT;2;BROILER;;         ;;         ;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
;0023174;B.K. 21677 - MOSTOLES ELSOTO;2;CAMPANA BROILER;;         ;;         ;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
;2068001;CENTRE BANC SABADELL EDIFICI 3607;4;Campana Pared (COCINA LIVING);;         ;;         ;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
;0127006;VIENA FILADORS SABADELL;;;;         ;;         ;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
;0127058;VIENA - C/ Advocat Cirera, 1;2;CAMPANA CENTRAL + CAMOANA PARE;;         ;;         ;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
;4784;EME CATEDRAL HOTEL;1;CAMPANA CENTRAL;;         ;;         ;
;;;;;;         ;;         ;
