NUM CONTRATO;COD. CLI;ESTABLECIMIENTO;NUM.SISTEMA;DESCR. ZONA;FE.INSTAL.;FE.PROX.VIS.;TIPO SISTEMA;TOT.PUNTOS;CANT.FUSIBLES;CANT.BOQUILLAS;NUM.SERIE DEP.;FE.CAMBIO DEP.;NUM.LOTE;FE.LOTE;NUM.SERIE DEP.;FE.CAMBIO DEP.;NUM.LOTE;FE.LOTE;NUM.SERIE DEP.;FE.CAMBIO DEP.;NUM.LOTE;FE.LOTE;NUM.SERIE CARTUCHO;FE.CAMB.CARTUCHO;NUM.SERIE ARMARIO;TIPO CAMPANA;DESCR. CAMP.;TIPO BOQUILLA CAMP;NUM.BOQUILLAS;VALOR BOQUILLAS;PUNTOS;TIPO CAMPANA;DESCR. CAMP.;TIPO BOQUILLA CAMP;NUM.BOQUILLAS;VALOR BOQUILLAS;PUNTOS;TIPO CAMPANA;DESCR. CAMP.;TIPO BOQUILLA CAMP;NUM.BOQUILLAS;VALOR BOQUILLAS;PUNTOS;TIPO CAMPANA;DESCR. CAMP.;TIPO BOQUILLA CAMP;NUM.BOQUILLAS;VALOR BOQUILLAS;PUNTOS;TIPO CAMPANA;DESCR. CAMP.;TIPO BOQUILLA CAMP;NUM.BOQUILLAS;VALOR BOQUILLAS;PUNTOS;TIPO CAMPANA;DESCR. CAMP.;TIPO BOQUILLA CAMP;NUM.BOQUILLAS;VALOR BOQUILLAS;PUNTOS;TIPO CAMPANA;DESCR. CAMP.;TIPO BOQUILLA CAMP;NUM.BOQUILLAS;VALOR BOQUILLAS;PUNTOS;TIPO CAMPANA;DESCR. CAMP.;TIPO BOQUILLA CAMP;NUM.BOQUILLAS;VALOR BOQUILLAS;PUNTOS;TIPO CAMPANA;DESCR. CAMP.;TIPO BOQUILLA CAMP;NUM.BOQUILLAS;VALOR BOQUILLAS;PUNTOS;TIPO CAMPANA;DESCR. CAMP.;TIPO BOQUILLA CAMP;NUM.BOQUILLAS;VALOR BOQUILLAS;PUNTOS;TIPO CAMPANA;DESCR. CAMP.;TIPO BOQUILLA CAMP;NUM.BOQUILLAS;VALOR BOQUILLAS;PUNTOS;TIPO CAMPANA;DESCR. CAMP.;TIPO BOQUILLA CAMP;NUM.BOQUILLAS;VALOR BOQUILLAS;PUNTOS;
MTO/BKQ-461;0023485;B.K.27784 - PARQUE OLEIROS;1;CAMP.FREIDORAS + CAMP. BROILER;         ; 8-NOV-22;ANSUL          ; 18;  6; 10;2019; 1-ABR-29;;         ;;         ;;         ;;         ;;         ;;;;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;FREIDORA                      ;L230 ;  4;  2;  8;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;BROILER                       ;L245 ;  2;  2;  4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MTO/BKQ-462;0023517;B.K.22724 - AVILA;1;CAMP.FREIDORAS + CAMP. BROILER;         ; 6-NOV-22;ANSUL          ; 18;  6; 10;2016; 1-OCT-26;;         ;;         ;;         ;;         ;;         ;;;;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;FREIDORA                      ;L230 ;  4;  2;  8;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;BROILER                       ;L245 ;  2;  2;  4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MTO/BKQ-47;3863006;B.K. 18512 - SABADELL * Ram¢n Llull;1;C. FREIDORAS + C. BROILER;13-JUL-11;15-MAR-18;ANSUL          ; 18;  5; 10;2011; 1-JUL-21;LIQUIDO NUEVO; 1-MAR-11;2011; 1-JUL-21;LIQUIDO NUEVO; 1-MAR-11;;         ;;         ;DOBLE TANK;100801;S-008935;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;FREIDORA                      ;L230 ;  4;  2;  8;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;BROILER                       ;L245 ;  2;  2;  4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MTO/BKQ-478;0023500;B.K.10565 - GRAN CASA;1;CAMPANA FREIDORAS             ; 1-ENE-00;27-OCT-22;ANSUL          ; 11;  4;  6;2018; 1-ABR-28;                    ;         ;;         ;;         ;;         ;;         ;                    ;;                    ;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;FREIDORA                      ;L230 ;  4;  2;  8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MTO/BKQ-478;0023500;B.K.10565 - GRAN CASA;2;CAMPANA BROILER               ; 1-ENE-00;27-OCT-22;ANSUL          ;  7;  1;  4;2018; 1-ABR-28;                    ;         ;;         ;;         ;;         ;;         ;                    ;;                    ;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;BROILER                       ;L245 ;  2;  2;  4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MTO/BKQ-479;0023501;B.K.29465 - PLAZA IMPERIAL;1;CAMP.FREIDORAS Y CAMP. BROILER;         ;20-ABR-22;ANSUL          ; 18;  6; 10;2019; 1-OCT-29;;         ;;         ;;         ;;         ;;         ;;;;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;FREIDORA                      ;L230 ;  4;  2;  8;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;BROILER                       ;L245 ;  2;  2;  4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MTO/BKQ-48;0023134;B.K. 15053 - Avda. del Puerto - VALENCIA;1;CAMPANA FREIDORA; 7-JUL-04; 9-JUN-22;ANSUL          ; 11;  3;  6;2008; 1-JUN-28;;         ;;         ;;         ;;         ;;         ;428441;;;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;FREIDORA                      ;L230 ;  4;  2;  8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MTO/BKQ-48;0023134;B.K. 15053 - Avda. del Puerto - VALENCIA;2;CAMPANA BROILER; 7-JUL-04; 9-JUN-22;ANSUL          ;  5;  1;  4;; 1-JUN-28;;         ;;         ;;         ;;         ;;         ;428441;;;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;BROILER                       ;L1W  ;  2;  1;  2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MTO/BKQ-480;0023502;B.K.18781 - HISPANIDAD ;1;CAMPANA FREIDORAS;         ;26-OCT-22;ANSUL          ; 15;  4;  6;2012; 1-ABR-22;;         ;;         ;;         ;;         ;;         ;LT-30;;;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;FREIDORA                      ;L230 ;  4;  2;  8;;;;;;;;;;;;;PARED  ;BROILER                       ;L245 ;  0;  2;  4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MTO/BKQ-480;0023502;B.K.18781 - HISPANIDAD ;2;CAMPANA BROILER 1;         ;26-OCT-22;ANSUL          ;  7;  1;  4;2012; 1-ABR-22;;         ;;         ;;         ;;         ;;         ;LT-30;;;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;BROILER                       ;L245 ;  2;  2;  4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MTO/BKQ-480;0023502;B.K.18781 - HISPANIDAD ;3;CAMPANA BROILER 2;         ;26-OCT-22;ANSUL          ;  7;  1;  4;2017; 1-ABR-27;;         ;;         ;;         ;;         ;;         ;LT-30;;;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;BROILER                       ;L245 ;  2;  2;  4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MTO/BKQ-481;0023503;B.K.22214 - GOYA ZARAGOZA;1;CAMPANA FREIDORAS;         ;25-OCT-22;ANSUL          ; 15;  4;  6;2015; 1-OCT-25;;         ;;         ;;         ;;         ;;         ;LT-30;;;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;FREIDORA                      ;L230 ;  4;  2;  8;;;;;;;;;;;;;PARED  ;BROILER                       ;L245 ;  0;  2;  4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MTO/BKQ-481;0023503;B.K.22214 - GOYA ZARAGOZA;2;CAMPANA BROILER;         ;25-OCT-22;ANSUL          ;  7;  2;  4;2015; 1-OCT-25;;         ;;         ;;         ;;         ;;         ;LT-30;;;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;BROILER                       ;L245 ;  2;  2;  4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MTO/BKQ-482;0023504;B.K.25164 - CASTELAR ;1;CAMP.FREIDORAS Y CAMP. BROILER;         ;26-OCT-22;ANSUL          ; 18;  6; 10;2017; 1-ABR-27;;         ;;         ;;         ;;         ;;         ;;;;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;FREIDORA                      ;L230 ;  4;  2;  8;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;BROILER                       ;L245 ;  2;  2;  4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MTO/BKQ-483;0023505;B.K.18789 - MIRANDA;1;CAMP.FREIDORAS Y CAMP. BROILER;         ;29-OCT-22;ANSUL          ; 18;  6; 10;2014; 1-OCT-24;;         ;;         ;;         ;;         ;;         ;;;;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;FREIDORA                      ;L230 ;  4;  2;  8;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;BROILER                       ;L245 ;  2;  2;  4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MTO/BKQ-49;0023053;B.K.15808 - CASTELLON I * C.C. SALERA;1;CAMPANA BROILER + FREIDORAS;         ;27-OCT-22;ANSUL          ; 18;  5; 10;2006; 1-SEP-26;liquido azul he; 1-SEP-17;;         ;;         ;;         ;;         ;DOBLE TANK;060401;S-166022;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  2;  2;  4;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  2;  1;  2;PARED  ;FREIDORA                      ;L230 ;  4;  2;  8;PARED  ;BROILER                       ;L2W  ;  2;  2;  4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MTO/BKQ-497;0023467;B.K. 26307 - ONTINYENT;1;CAMP.FREIDORAS Y CAMP. BROILER;16-MAR-21; 4-SEP-22;SF/A 300       ; 18;  6; 10;2021; 1-MAR-31;LIQUIDO AZUL HE; 1-MAR-21;;         ;;         ;;         ;;         ;DOBLE TANK;201001;;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;FREIDORA                      ;L230 ;  4;  2;  8;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;BROILER                       ;L245 ;  2;  2;  4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MTO/BKQ-498;0023518;B.K.23777 - ZAMORA FS;1;CAMP.FREIDORAS Y CAMP. BROILER;         ; 9-NOV-22;ANSUL          ; 18;  6; 10;2017; 1-ABR-27;;         ;;         ;;         ;;         ;;         ;;;;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;FREIDORA                      ;L230 ;  4;  2;  8;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;BROILER                       ;L245 ;  2;  2;  4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MTO/BKQ-499;0023519;B.K.24115 - LA BA•EZA;1;CAMP.FREIDORAS Y CAMP. BROILER;         ;28-OCT-22;ANSUL          ; 18;  6; 10;2016; 1-ABR-26;;         ;;         ;;         ;;         ;;         ;;;;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;FREIDORA                      ;L230 ;  4;  2;  8;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;BROILER                       ;L245 ;  2;  2;  4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MTO/BKQ-50;0023054;B.K.16766 - CASTELLON II * LID'L;1;CAMPANA BROILER + FREIDORAS;         ; 3-JUL-22;ANSUL          ; 18;  5; 10;2009; 1-MAR-29;liquido azul he; 1-MAR-19;;         ;;         ;;         ;;         ;DOBLE TANK;081101;S-256195;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  2;  2;  4;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  2;  1;  2;PARED  ;FREIDORA                      ;L230 ;  4;  2;  8;PARED  ;BROILER                       ;L2W  ;  2;  2;  4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MTO/BKQ-500;0023520;B.K.24243 - CARBAJOSA DE LA SAGRADA;1;CAMP.FREIDORAS Y CAMP. BROILER;         ;27-OCT-22;ANSUL          ; 18;  6; 10;2018; 1-OCT-28;;         ;;         ;;         ;;         ;;         ;;;;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;FREIDORA                      ;L230 ;  4;  2;  8;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;BROILER                       ;L245 ;  2;  2;  4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MTO/BKQ-501;0023521;B.K.9451 - BURGOS;1;CAMPANA FREIDORAS;         ;28-OCT-22;ANSUL          ; 11;  4;  6;2019; 1-ABR-29;;         ;;         ;;         ;;         ;;         ;;;;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;FREIDORA                      ;L230 ;  4;  2;  8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MTO/BKQ-501;0023521;B.K.9451 - BURGOS;2;CAMPANA BROILER;         ;28-OCT-22;ANSUL          ;  7;  1;  4;2019; 1-ABR-29;;         ;;         ;;         ;;         ;;         ;;;;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;BROILER                       ;L245 ;  2;  2;  4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MTO/BKQ-502;0023522;B.K.21067 - ECI BURGOS;1;CAMPANA FREIDORAS;         ;28-OCT-22;ANSUL          ; 11;  4;  6;2014; 1-ABR-24;;         ;;         ;;         ;;         ;;         ;;;;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;FREIDORA                      ;L230 ;  4;  2;  8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MTO/BKQ-502;0023522;B.K.21067 - ECI BURGOS;2;CAMPANA BROILER;         ;28-OCT-22;ANSUL          ;  7;  2;  4;2014; 1-ABR-24;;         ;;         ;;         ;;         ;;         ;LT-30;;;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;BROILER                       ;L245 ;  2;  2;  4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MTO/BKQ-503;0023523;B.K.21277 - ARANDA;1;CAMPANA FREIDORAS;         ;27-OCT-22;ANSUL          ; 11;  4;  6;2014; 1-OCT-24;;         ;;         ;;         ;;         ;;         ;;;;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;FREIDORA                      ;L230 ;  4;  2;  8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MTO/BKQ-503;0023523;B.K.21277 - ARANDA;2;CAMPANA BROILER;         ;27-OCT-22;ANSUL          ;  7;  1;  4;2014; 1-OCT-24;;         ;;         ;;         ;;         ;;         ;;;;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;BROILER                       ;L245 ;  2;  2;  4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MTO/BKQ-504;0023524;B.K.25927 - CHAPITELES;1;CAMPANA FREIDORAS;         ;27-OCT-22;ANSUL          ; 11;  3;  6;2017; 1-OCT-27;;         ;;         ;;         ;;         ;;         ;;;;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;FREIDORA                      ;L230 ;  4;  2;  8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MTO/BKQ-504;0023524;B.K.25927 - CHAPITELES;2;CAMPANA BROILER;         ;27-OCT-22;ANSUL          ;  7;  1;  4;2017; 1-OCT-27;;         ;;         ;;         ;;         ;;         ;;;;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;BROILER                       ;L245 ;  2;  2;  4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MTO/BKQ-505;0023525;B.K.27114 - CALLE VITORIA;1;CAMP.FREIDORAS Y CAMP. BROILER;         ;28-OCT-22;ANSUL          ; 18;  6; 10;2019; 1-OCT-29;;         ;2019; 1-OCT-29;;         ;;         ;;         ;;;;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;FREIDORA                      ;L230 ;  4;  2;  8;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;BROILER                       ;L245 ;  2;  2;  4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MTO/BKQ-505;0023525;B.K.27114 - CALLE VITORIA;2;CAMPANA BROILER;         ;28-OCT-22;ANSUL          ;  7;  1;  4;2019; 1-OCT-29;;         ;;         ;;         ;;         ;;         ;;;;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;BROILER                       ;L245 ;  2;  2;  4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MTO/BKQ-506;0023526;B.K.14673 - SAN FRANCISCO;1;CAMP.FREIDORAS Y CAMP. BROILER;         ;10-NOV-22;SF/A 300       ; 18;  6; 10;2019; 1-ABR-29;;         ;;         ;;         ;;         ;;         ;;;;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;FREIDORA                      ;L230 ;  4;  2;  8;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;BROILER                       ;L245 ;  2;  2;  4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MTO/BKQ-507;0023527;B.K.15125 - ESPACIO;1;CAMP.FREIDORAS Y CAMP. BROILER;         ;10-NOV-22;ANSUL          ; 18;  6; 10;2017; 1-ABR-27;;         ;;         ;;         ;;         ;;         ;;;;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;FREIDORA                      ;L230 ;  4;  2;  8;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;BROILER                       ;L245 ;  2;  2;  4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MTO/BKQ-508;0023528;B.K.19090 - CARREFOUR CASTILLA;1;CAMP.FREIDORAS Y CAMP. BROILER;         ; 1-ABR-21;ANSUL          ; 18;  6; 10;;         ;;         ;;         ;;         ;;         ;;         ;;;;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;FREIDORA                      ;L230 ;  4;  2;  8;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;BROILER                       ;L245 ;  2;  2;  4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MTO/BKQ-509;0023529;B.K.28760 - GAVILANES;1;CAMP.FREIDORAS Y CAMP. BROILER;26-ABR-21; 1-ABR-22;ANSUL          ; 18;  6; 10;2021; 1-ABR-31;;         ;;         ;;         ;;         ;;         ;DOBLE TANK;;;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;FREIDORA                      ;L230 ;  4;  2;  8;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;BROILER                       ;L245 ;  2;  2;  4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MTO/BKQ-51;0023056;B.K.18240 - HOSPITALET//CARRILET;1;CAMP. FREIDORAS Y CAMP BROILER;22-NOV-11;23-ABR-18;ANSUL          ; 18;  5; 10;2011; 1-NOV-21;L1069; 1-SEP-11;2011; 1-NOV-21;L1069; 1-SEP-11;;         ;;         ;DOBLE TANK;080601;S-009650;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;FREIDORA                      ;L230 ;  4;  2;  8;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;BROILER                       ;L245 ;  2;  2;  4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MTO/BKQ-510;0023460;B.K.19090 - CARREFOUR CASTILLA;1;;26-ABR-21;10-NOV-22;SF/A 300       ;  0;  0;  0;2012; 1-OCT-22;;         ;;         ;;         ;;         ;;         ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MTO/BKQ-513;0023530;B.K.28940 - ALAQUAS;1;CAMP.FREIDORAS Y CAMP. BROILER; 5-MAY-21;20-NOV-22;ANSUL          ; 18;  6; 10;2021; 1-MAY-31;;         ;;         ;;         ;;         ;;         ;DOBLE TANK;;;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;FREIDORA                      ;L230 ;  4;  2;  8;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;BROILER                       ;L245 ;  2;  2;  4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MTO/BKQ-515;0023534;B.K.29021 - HELL÷N;1;CAMP.FREIDOREAS Y CAMP.BROILER;31-MAY-21;20-NOV-22;ANSUL          ; 18;  6; 10;2021; 1-MAY-31;;         ;;         ;;         ;;         ;;         ;DOBLE TANK;;;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;FREIDORA                      ;L230 ;  4;  2;  8;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;BROILER                       ;L245 ;  2;  2;  4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
