NUM CONTRATO;COD. CLI;ESTABLECIMIENTO;NUM.SISTEMA;DESCR. ZONA;FE.INSTAL.;FE.PROX.VIS.;TIPO SISTEMA;TOT.PUNTOS;CANT.FUSIBLES;CANT.BOQUILLAS;NUM.SERIE DEP.;FE.CAMBIO DEP.;NUM.LOTE;FE.LOTE;NUM.SERIE DEP.;FE.CAMBIO DEP.;NUM.LOTE;FE.LOTE;NUM.SERIE DEP.;FE.CAMBIO DEP.;NUM.LOTE;FE.LOTE;NUM.SERIE CARTUCHO;FE.CAMB.CARTUCHO;NUM.SERIE ARMARIO;TIPO CAMPANA;DESCR. CAMP.;TIPO BOQUILLA CAMP;NUM.BOQUILLAS;VALOR BOQUILLAS;PUNTOS;TIPO CAMPANA;DESCR. CAMP.;TIPO BOQUILLA CAMP;NUM.BOQUILLAS;VALOR BOQUILLAS;PUNTOS;TIPO CAMPANA;DESCR. CAMP.;TIPO BOQUILLA CAMP;NUM.BOQUILLAS;VALOR BOQUILLAS;PUNTOS;TIPO CAMPANA;DESCR. CAMP.;TIPO BOQUILLA CAMP;NUM.BOQUILLAS;VALOR BOQUILLAS;PUNTOS;TIPO CAMPANA;DESCR. CAMP.;TIPO BOQUILLA CAMP;NUM.BOQUILLAS;VALOR BOQUILLAS;PUNTOS;TIPO CAMPANA;DESCR. CAMP.;TIPO BOQUILLA CAMP;NUM.BOQUILLAS;VALOR BOQUILLAS;PUNTOS;TIPO CAMPANA;DESCR. CAMP.;TIPO BOQUILLA CAMP;NUM.BOQUILLAS;VALOR BOQUILLAS;PUNTOS;TIPO CAMPANA;DESCR. CAMP.;TIPO BOQUILLA CAMP;NUM.BOQUILLAS;VALOR BOQUILLAS;PUNTOS;TIPO CAMPANA;DESCR. CAMP.;TIPO BOQUILLA CAMP;NUM.BOQUILLAS;VALOR BOQUILLAS;PUNTOS;TIPO CAMPANA;DESCR. CAMP.;TIPO BOQUILLA CAMP;NUM.BOQUILLAS;VALOR BOQUILLAS;PUNTOS;TIPO CAMPANA;DESCR. CAMP.;TIPO BOQUILLA CAMP;NUM.BOQUILLAS;VALOR BOQUILLAS;PUNTOS;TIPO CAMPANA;DESCR. CAMP.;TIPO BOQUILLA CAMP;NUM.BOQUILLAS;VALOR BOQUILLAS;PUNTOS;
;4631;B.K. 13676 - EL PAS DE LA CASA ANDORRA;3;CAMPANA FREIDORA 3            ;27-OCT-04;10-OCT-17;ANSUL          ;  7;  0;  4;2014; 1-OCT-24;                    ;         ;;         ;;         ;;         ;;         ;                    ;;                    ;OTROS  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;OTROS  ;COLECTOR FILTROS CENTRAL      ;L1N  ;  1;  1;  1;OTROS  ;FREIDORA                      ;L230 ;  2;  2;  4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1177;B.K. 11701 - LINARES JAEN;2;CAMPANA BROILER               ;19-MAR-99; 5-FEB-16;SF/P 260       ;  5;  1;  5;Feb 05              ; 1-FEB-16;0;         ;;         ;;         ;;         ;;         ;                    ;;11096-17            ;OTROS  ;CONDUCTO EXTRACCI‡N           ;ADP  ;  2;  1;  2;OTROS  ;COLECTOR FILTROS PARED        ;ADP  ;  1;  1;  1;OTROS  ;OTROS                         ;ADP  ;  2;  1;  2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;3863003;B.K. LA MOLINA ;1;CAMPANA FREIDORAS (4)         ;15-DIC-04; 1-NOV-12;ANSUL          ; 11;  4;  6;2004                ;         ;L-4031 Abr.04  ;         ;;         ;;         ;;         ;;         ;ANSUL 05/04         ;;001425              ;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;FREIDORA                      ;L230 ;  4;  2;  8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;3863003;B.K. LA MOLINA ;2;CAMPANA BROILER               ;15-DIC-04; 1-NOV-12;ANSUL          ;  5;  1;  4;2004                ;         ;L-4031 de abr.0;         ;;         ;;         ;;         ;;         ;ansul may-04        ;;001424              ;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;BROILER                       ;L1W  ;  2;  1;  2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;3863;B.K. 12299 TERRASSA - C.C. PARC VALLES;2;CAMPANA BROILER               ; 2-MAR-99;28-SEP-13;ANSUL          ;  5;  1;  4;2008; 1-ENE-20;L-9010; 1-ENE-09;;         ;;         ;;         ;;         ;01/08/98;;                    ;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;BROILER                       ;L1W  ;  2;  1;  2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;0023192;B.K.13964 - CAN PASTILLA;2;CAMPANA BROILER               ;10-AGO-01; 4-NOV-18;ANSUL          ;  7;  1;  4;2011; 1-NOV-21;                    ;         ;;         ;;         ;;         ;;         ;LT-30;010301;S-52329;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;BROILER                       ;L2W  ;  2;  2;  4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;0023002;B.K.3709 - VALENCIA II * Pza. Ayto;2;CAMPANA BROILER               ; 4-MAR-02;22-ENE-14;ANSUL          ;  5;  1;  4;10114-31 12/01      ; 1-ABR-13;L-5008 ene-05  ;         ;;         ;;         ;;         ;;         ;E17 M1              ;;                    ;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;BROILER                       ;L2W  ;  2;  2;  2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;0023007;B.K.3743 - MURCIA I * Pza. Sto. Domingo;2;CAMPANA BROILER               ;18-ABR-02;29-JUL-16;ANSUL          ;  5;  1;  4;2012; 1-JUN-22;L-2026; 1-MAR-12;;         ;;         ;;         ;;         ;81020 04/03         ;;                    ;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;BROILER                       ;L1W  ;  2;  1;  2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;0023025;B.K.8865 - VALENCIA VI - Av.ARAGON;2;CAMPANA BROILER               ; 9-DIC-04;30-ABR-15;ANSUL          ;  5;  1;  4;                    ; 1-DIC-14;                    ;         ;;         ;;         ;;         ;;         ;                    ;;                    ;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;  1;  2;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;BROILER                       ;L1W  ;  2;  1;  2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;0023021;B.K.9177 - CALPE ALICANTE;2;CAMPANA BROILER               ;21-JUL-95;12-MAY-15;SF/A 300       ;  5;  1;  5;                    ; 1-DIC-14;                    ;         ;;         ;;         ;;         ;;         ;                    ;;                    ;PARED  ;CONDUCTO EXTRACCI‡N           ;L1N  ;  2;  1;  2;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;  1;  1;  1;PARED  ;BROILER                       ;L1N  ;  2;  1;  2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
