NUM CONTRATO;COD. CLI;ESTABLECIMIENTO;NUM.SISTEMA;DESCR. ZONA;TIPO CAMPANA;DESCR. CAMP.;TIPO BOQUILLA CAMP;NUM.BOQUILLAS;VALOR BOQUILLAS;PUNTOS
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;1177;B.K. 11701 - LINARES JAEN;2;CAMPANA BROILER               ;OTROS  ;CONDUCTO EXTRACCI‡N           ;ADP  ;2;1;2
;;;;;OTROS  ;COLECTOR FILTROS PARED        ;ADP  ;1;1;1
;;;;;OTROS  ;OTROS                         ;ADP  ;2;1;2
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;3863003;B.K. LA MOLINA ;1;CAMPANA FREIDORAS (4)         ;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;1;2;2
;;;;;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;1;1;1
;;;;;PARED  ;FREIDORA                      ;L230 ;4;2;8
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;3863003;B.K. LA MOLINA ;2;CAMPANA BROILER               ;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;1;2;2
;;;;;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;1;1;1
;;;;;PARED  ;BROILER                       ;L1W  ;2;1;2
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;3863;B.K. 12299 TERRASSA - C.C. PARC VALLES;2;CAMPANA BROILER               ;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;1;2;2
;;;;;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;1;1;1
;;;;;PARED  ;BROILER                       ;L1W  ;2;1;2
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;23192;B.K.13964 - CAN PASTILLA;2;CAMPANA BROILER               ;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;1;2;2
;;;;;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;1;1;1
;;;;;PARED  ;BROILER                       ;L2W  ;2;2;4
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;23002;B.K.3709 - VALENCIA II * Pza. Ayto;2;CAMPANA BROILER               ;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;1;2;2
;;;;;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;1;1;1
;;;;;PARED  ;BROILER                       ;L2W  ;2;2;2
;;;;;;;;;;
;;;;;;;;;;
